"id","name","reconcile","non_trade","tag_ids","code","account_type"
"l10n_np_1000","Cash in Hand","","","","1000","asset_cash"
"l10n_np_1010","Petty Cash","","","","1010","asset_cash"
"l10n_np_1020","Bank Account - Local Currency","","","","1020","asset_cash"
"l10n_np_1030","Bank Account - Foreign Currency","","","","1030","asset_cash"
"l10n_np_1050","Liquidity Transfer","True","","","1050","asset_current"
"l10n_np_1060","Bank Suspense Account","True","","","1060","asset_current"
"l10n_np_1070","Outstanding Receipts","True","","","1070","asset_current"
"l10n_np_1080","Outstanding Payments","True","","","1080","asset_current"
"l10n_np_1100","Trade Receivables","True","","","1100","asset_receivable"
"l10n_np_1110","Employee Advances","True","","","1110","asset_current"
"l10n_np_1120","Other Receivables","True","","","1120","asset_receivable"
"l10n_np_1200","Prepaid Expenses","","","","1200","asset_prepayments"
"l10n_np_1210","VAT Input (Recoverable)","","","","1210","asset_current"
"l10n_np_1220","Advance to Suppliers","True","","","1220","asset_current"
"l10n_np_1230","TDS Receivable / Advance Tax Deducted","True","","","1230","asset_current"
"l10n_np_1240","Staff Loans & Advances","True","","","1240","asset_current"
"l10n_np_1300","Inventory","","","","1300","asset_current"
"l10n_np_1310","Goods in Transit","","","","1310","asset_current"
"l10n_np_1400","Land","","","","1400","asset_fixed"
"l10n_np_1410","Building","","","","1410","asset_fixed"
"l10n_np_1420","Furniture & Fixtures","","","","1420","asset_fixed"
"l10n_np_1430","Office & IT Equipment","","","","1430","asset_fixed"
"l10n_np_1440","Vehicles","","","","1440","asset_fixed"
"l10n_np_1450","Capital Work-in-Progress","","","","1450","asset_fixed"
"l10n_np_1460","Accumulated Depreciation - Building","","","","1460","asset_fixed"
"l10n_np_1470","Accumulated Depreciation - Furniture & Fixtures","","","","1470","asset_fixed"
"l10n_np_1480","Accumulated Depreciation - Office & IT Equipment","","","","1480","asset_fixed"
"l10n_np_1490","Accumulated Depreciation - Vehicles","","","","1490","asset_fixed"
"l10n_np_1500","Security Deposits Paid","True","","","1500","asset_non_current"
"l10n_np_1510","Long-term Investments","","","","1510","asset_non_current"
"l10n_np_1520","Intangible Assets - Software/Licenses","","","","1520","asset_non_current"
"l10n_np_1530","Deferred Tax Assets","","","","1530","asset_non_current"
"l10n_np_1590","Other Non-current Assets","","","","1590","asset_non_current"
"l10n_np_2000","Trade Payables","True","","","2000","liability_payable"
"l10n_np_2010","Other Payables","True","","","2010","liability_payable"
"l10n_np_2100","Income Tax Payable","","","","2100","liability_current"
"l10n_np_2110","VAT Output (Payable)","","","","2110","liability_current"
"l10n_np_2120","Social Security Fund (SSF) Payable","","","","2120","liability_current"
"l10n_np_2130","TDS Payable","True","","","2130","liability_current"
"l10n_np_2140","Provident Fund Payable","","","","2140","liability_current"
"l10n_np_2150","Other Statutory Payables","","","","2150","liability_current"
"l10n_np_2200","Salary Payable","True","","","2200","liability_current"
"l10n_np_2210","Accrued Expenses","","","","2210","liability_current"
"l10n_np_2220","Advance from Customers","True","","","2220","liability_current"
"l10n_np_2230","Outstanding Expenses","True","","","2230","liability_current"
"l10n_np_2290","Other Current Liabilities","","","","2290","liability_current"
"l10n_np_2300","Long-term Bank Loan","","","","2300","liability_non_current"
"l10n_np_2310","Lease Liabilities","","","","2310","liability_non_current"
"l10n_np_2320","Provision for Gratuity","","","","2320","liability_non_current"
"l10n_np_2390","Other Non-current Liabilities","","","","2390","liability_non_current"
"l10n_np_3000","Share Capital / Owner's Capital","","","","3000","equity"
"l10n_np_3010","Share Premium","","","","3010","equity"
"l10n_np_3020","General Reserve","","","","3020","equity"
"l10n_np_3030","Retained Earnings","","","","3030","equity"
"l10n_np_3900","Current Year Earnings","","","","3900","equity_unaffected"
"l10n_np_4000","Sales - Goods (Domestic)","","","","4000","income"
"l10n_np_4010","Sales - Services (Domestic)","","","","4010","income"
"l10n_np_4020","Export Sales","","","","4020","income"
"l10n_np_4100","Other Operating Income","","","","4100","income_other"
"l10n_np_4110","Foreign Exchange Gain","","","","4110","income_other"
"l10n_np_4120","Early Payment Discount Gain","","","","4120","income_other"
"l10n_np_4190","Cash Difference Gain","","","","4190","income_other"
"l10n_np_5000","Cost of Goods Sold","","","","5000","expense_direct_cost"
"l10n_np_5010","Purchases","","","","5010","expense_direct_cost"
"l10n_np_5020","Freight Inward","","","","5020","expense_direct_cost"
"l10n_np_5030","Direct Labor","","","","5030","expense_direct_cost"
"l10n_np_6000","Salaries & Wages","","","","6000","expense"
