"id","name","sequence","description","invoice_label","type_tax_use","amount_type","amount","tax_group_id","is_withholding_tax_on_payment","withholding_sequence_id","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","country_id","fiscal_position_ids","original_tax_ids"
"vat_sale_13","13%","1","Standard VAT on sales (13%)","13%","sale","percent","13","vat_group_13","False","","","base","invoice","","base.np","fiscal_position_np_domestic",""
"","","","","","","","","","","","","tax","invoice","l10n_np_2110","","",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","l10n_np_2110","","",""
"vat_purchase_13","13%","2","Standard VAT on purchases (13%)","13%","purchase","percent","13","vat_group_13","False","","","base","invoice","","base.np","fiscal_position_np_domestic",""
"","","","","","","","","","","","","tax","invoice","l10n_np_1210","","",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","l10n_np_1210","","",""
"vat_sale_0","0%","3","Zero-rated / exempt sales","0%","sale","percent","0","vat_group_0","False","","","base","invoice","","","fiscal_position_np_export","vat_sale_13"
"","","","","","","","","","","","","tax","invoice","l10n_np_2110","","",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","l10n_np_2110","","",""
"vat_purchase_0","0%","4","Zero-rated / exempt purchases","0%","purchase","percent","0","vat_group_0","False","","","base","invoice","","","fiscal_position_np_export","vat_purchase_13"
"","","","","","","","","","","","","tax","invoice","l10n_np_1210","","",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","l10n_np_1210","","",""
"tds_rent_10","TDS - Rent 10%","10","TDS on house/land rent paid to a resident. Illustrative rate (Income Tax Act 2058, Sec 88) - verify current rate before use.","TDS Rent 10%","purchase","percent","-10","tds_group_payable","True","l10n_np.sequence_l10n_np_tds_certificate","","base","invoice","","base.np","",""
"","","","","","","","","","","","100","tax","invoice","l10n_np_2130","","",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_np_2130","","",""
"tds_service_15","TDS - Service Fee/Consultancy 15%","11","TDS on service fee / consultancy paid to a resident. Illustrative rate - verify current rate before use.","TDS Service 15%","purchase","percent","-15","tds_group_payable","True","l10n_np.sequence_l10n_np_tds_certificate","","base","invoice","","base.np","",""
"","","","","","","","","","","","100","tax","invoice","l10n_np_2130","","",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_np_2130","","",""
"tds_contract_1_5","TDS - Contract Payment 1.5%","12","TDS on payment under a construction-type contract/agreement. Illustrative rate - verify current rate before use.","TDS Contract 1.5%","purchase","percent","-1.5","tds_group_payable","True","l10n_np.sequence_l10n_np_tds_certificate","","base","invoice","","base.np","",""
"","","","","","","","","","","","100","tax","invoice","l10n_np_2130","","",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_np_2130","","",""
"tds_commission_15","TDS - Commission/Discount 15%","13","TDS on commission or discount paid. Illustrative rate - verify current rate before use.","TDS Commission 15%","purchase","percent","-15","tds_group_payable","True","l10n_np.sequence_l10n_np_tds_certificate","","base","invoice","","base.np","",""
"","","","","","","","","","","","100","tax","invoice","l10n_np_2130","","",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_np_2130","","",""
"tds_interest_5","TDS - Bank Interest 5%","14","TDS on interest paid by a bank/financial institution to an individual depositor. Illustrative rate - verify current rate before use.","TDS Interest 5%","purchase","percent","-5","tds_group_payable","True","l10n_np.sequence_l10n_np_tds_certificate","","base","invoice","","base.np","",""
"","","","","","","","","","","","100","tax","invoice","l10n_np_2130","","",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_np_2130","","",""
"tds_dividend_5","TDS - Dividend 5%","15","TDS on dividend paid. Illustrative rate - verify current rate before use.","TDS Dividend 5%","purchase","percent","-5","tds_group_payable","True","l10n_np.sequence_l10n_np_tds_certificate","","base","invoice","","base.np","",""
"","","","","","","","","","","","100","tax","invoice","l10n_np_2130","","",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_np_2130","","",""
