"id","code_prefix_start","code_prefix_end","name"
"l10n_np_group_1000_1099","1000","1099","Cash & Bank"
"l10n_np_group_1100_1199","1100","1199","Trade Receivables"
"l10n_np_group_1200_1299","1200","1299","Other Current Assets"
"l10n_np_group_1300_1399","1300","1399","Inventory"
"l10n_np_group_1400_1499","1400","1499","Fixed Assets"
"l10n_np_group_1500_1599","1500","1599","Other Non-current Assets"
"l10n_np_group_2000_2099","2000","2099","Trade Payables"
"l10n_np_group_2100_2199","2100","2199","Statutory & Tax Liabilities"
"l10n_np_group_2200_2299","2200","2299","Other Current Liabilities"
"l10n_np_group_2300_2399","2300","2399","Non-current Liabilities"
"l10n_np_group_3000_3999","3000","3999","Equity"
"l10n_np_group_4000_4199","4000","4199","Income"
"l10n_np_group_5000_5099","5000","5099","Cost of Revenue"
"l10n_np_group_6000_6999","6000","6999","Expenses"
